原文	译文
你说我高兴得哭了？你们知道什么啊！你们是什么人？	What do you know of us? Who are you?
我是Mr.3，请原谅我用代号称呼自己，我是一个造型艺术家，还有你已经被我们逮捕了。(布洛基的脚部出现大量蜡烛）	I'm Mr. 3, please forgive me for calling myself with my code. I'm an artist and you are captured by us. (Massive amounts of wax wraps around Brogy's feet) 
什么？这是什么！混蛋！（布洛基想要挣扎出去）	What's this! Damn! (Brogy struggles to escape.) 
哈哈哈，不用挣扎了，我的蜡皮的强度可是和铁想媲美的，就算是巨人族的蛮力也无能为力，沉迷于胜利的你放松了警惕！！都了这么久今天终于一分高下了，这不是挺好的嘛，就算胜利是在别人的帮助下取得的。	Hahaha, you don't need to struggle. My wax's strength can match iron, even giants like yourself cannot escape. You were too focus on the victory that you relaxed!! Isn't it great to win after dueling for so many years?! But you did get some help today.
你……莫非（布洛基想到了刚才东利的不对劲）	You…did what? (Brogy suddenly realizes previously Dorry wasn't acting himself) 
你知道吗？对于你们两个的巨额悬赏金，至今还没有失效啊。	Do you know that the giant bounty on each of you is still in effect?
混蛋，你们的目的竟然是这个！！！	Damn, your goal is to get the bounty!!!
太过分了，他们的手段是在是太卑鄙了，竟然在多利先生的酒里放炸弹！	They are despicable to put explosive in Dorry's wine!
混蛋，又是巴洛克工作室的人，竟然是他们做的手脚。	Damn, Baroque Works again, it was them who did it.
一定不能让他们的阴谋得逞，我们必须要阻止他们。	We can't let them win, we have to block them.
不好，有人发现了我们！	Bad news! Somebody has spotted us.
是巴洛克的精英，这些人应该都是Mr.3的手下。	Those are the Baroque Elites, they must be Mr. 3's henchmen.
哼，那就先打败他们再去找Mr.3算账。	Hum, then let's defeat them before finding Mr. 3.
没想到这次跟随Mr.3执行任务的巴洛克成员竟然这么多。	I didn't expect so many people to be working under Mr. 3.
毕竟2个巨人大叔的悬赏金都达到恐怖的1亿悬赏金，可能他们是为了以防万一。	Since each of the giant's bounty reaches 100,000,000 Beli, I think they sent extra people just as precaution.
可恶，有巴洛克的精英队长发现了我们，看来我们又要陷入苦战了。	Damn, Baroque Elite Captain discovered us. It seems time to battle again.
他们来了，交给我吧，我会把他们全部打倒。	Leave it to me, I'll defeat them all.
看来威士忌小镇上的巴洛克追兵已经发现了我们。	The Baroque Works henchmen at Whiskey Peak discovered us already.
为什么这么说，有什么发现吗？	Why did you say so? Did you discover anything?
刚才的精英队长我见过，以前是Mr.5的手下，看来Mr.5已经追击到了小花园。	The Elite Captain we just met used to work under Mr. 5. So it seems Mr. 5 already arrived at Little Garden.
这次巴洛克竟然来了这么多人，看来我们要找人问下情况如何。	We should find someone to get more information about Baroque Works.
小妹妹，你有没有见过一些奇怪的人出现在这里？	Little girl, did you see anyone strange appearing around this area?
奇怪的人？我看到过一个穿着褐色衣服爆炸头的男人带着一群手续爱经过这里，也问我有没有看到过一群奇怪的人，你们找的是他们吗？	Strange people? I saw a man in brown trenchcoat with spiky dreadlocks along with a bunch of henchmen passing by here. They asked the exact same question. Are you looking for them?
穿褐色衣服爆炸头的男人？那一定就是Mr.5了，小妹妹你有看到他们去哪了吗？	Brown trenchcoat with spiky dreadlocks must be Mr. 5. Did you see where they went?
我看到他们往那边走了，那些人凶巴巴的一看就不是好人。（小女孩指向了北方）	I saw them walking that direction. They don't look like nice people. (The little girl pointed to the north) 
知道了，我会找他们算账的。	I'll teach them a lesson.
原来是这些坏蛋把东利和布洛基2个巨人大叔给害了！	So they are the bad guys that hurt the two giants, Dorry and Brogy!
那些家伙只是为了巨人大叔的巨额悬赏金。	They are after the bounty reward for the two giants.
说来也是，没想到巨人大叔的赏金竟然高达1亿，真是难以想象。	It's hard to imagine that these two giants each have a bounty of over 100,000,000 Beli.
恩，我也没想到呢，巨人大叔以前一定很强。	Those giants must be very powerful pirates.
好厉害，不过那些坏蛋的领头还没有被打败。	You still need to defeat the leader.
这群家伙为了赏金就不折手段，实在是太卑鄙了。	They are despicable to act such ways just to get the bounty reward.
说的也是，不过你们要小心了，那个爆炸头的男人发现你们一定不会放过你们的。	You need to be careful. If the dude with the spiky dreadlocks finds you, he would certainly kill you.
我也不会放过这些危害巨人大叔的家伙。	I will not let those jerks get away so easily.
没想到你会这么厉害呢。	You are good.
那些家伙，决不能饶恕他们！	I won't forgive them.
薇薇姐姐好像有什么发现呢，快去看看！	Vivi discovered something, go check on her!
{#}，你终于来了，我发现了巴洛克的追兵的踪迹！	{#}, you are finally here. I discovered the Baroque Works henchmen's track!
恩，在哪里呢？我们先把追兵解决了再去对付Mr.3。	Where are they? We'll deal with the henchmen before facing off Mr. 3.
就在那边，我们小心过去别惊动他们，把他们全部解决。	Over there! We shall be careful to get closer and get rid of all of them.
恩，就照你说的那么办。	Yes, let's go.
干得不错，这些追兵悄无声息的就被打败了。	Good job, we defeated them without much noises.
这些巴洛克的成员不过如此嘛。	These Baroque Works henchmen are just so so.
那是因为你们太强大了，普通的巴洛克成员不是你们对手，这次带队的是Miss.情人节，虽然她败给过你们，不过可千万不要大意了，她的实力还是摆在那里的。	That's because you guys are strong. But the leader this time is Miss Valentine. Even though she lost to you guys before, but don't become cocky. She's still quite good.
不管来多少人，我都会把他们揍飞，巴洛克这样的组织就不该出现！	I don't care who comes, I'll defeat all of them and eliminate Baroque Works.
追兵已经都被解决了，现在就剩下设下阴谋的那些巴洛克成员了。	We got rid of all the henchmen, now we just have the Baroque Works officers.
我们得想办法先救出巨人大叔，不然时间久了他们就成蜡像了。	We need to rescue the giants first, or else they'll become wax figurine soon.
竟然破坏巨人大叔之间神圣的决斗，他们的行为简直不可饶恕，那些家伙可以原谅吗？	They dare to interrupt the duel between the giants. Can their action be forgiven?
不要！！绝不要绕过他们，布洛基可是我的师傅啊！！	No!! We will never forgive them. The giants are my hero!!
那就让我们几个去把他们打得落花流水！！	Let's go beat them up!!!
布洛基就在前面了。	Brogy is right in front.
我们先将巨人大叔救出来再说！	Let's go rescue Brogy first.
布洛基的手被Mr.3钉在地上动弹不得了。	Brogy's hands are pinned to the ground by Mr. 3.
我们去问下布洛基了解下情况。	Let's go ask Brogy about the situation.
100年了，我们每一天都在战斗、战斗，为了出生在战士之村埃鲁巴夫的这份荣誉，不断的战斗，如果这就是我们的结局，埃鲁巴夫哟，你不是太残忍了吗？为什么不让我们在战斗中死去？！	For over 100 years, we duel everyday for the glory of Elbaf. Why are we suffering from this fate? Why don't we just die in the fight?!
布洛基师傅！！你的愤怒，由我们来帮你发泄！！	Brogy!!! We'll help you revenge!!!
